address,squareFootage,sizeDescription,buildingType,url
Viputie 11 A 1,93.5,4H+K+S,PARITALO,/asumisoikeusasunnot/espoo/lippajarvi/viputie-11/asunto-a-1/
Juvanpuistonkuja 2 C 12,98,4H+K+S,RIVITALO,/asumisoikeusasunnot/espoo/niipperi/juvanpuistonkuja/asunto-2-c-12/
Vanha Sveinsintie 6 H 25,110,5H+K+S,RIVITALO,/asumisoikeusasunnot/espoo/laaksolahti/vanha-sveinsintie-6/asunto-h-25/
Nuottalahdentie 21-23 E 10,103,5H+K+S,PARITALO,/asumisoikeusasunnot/espoo/nuottalahti/nuottalahdentie-21-23/asunto-e-10/
Herastuomarintie 6 C 11,98,4H+K+S,RIVITALO,/asumisoikeusasunnot/espoo/muurala/herastuomarintie-6/asunto-c-11/
Kylvökuja 1-4 H 8,125.5,6H+K+S,OMAKOTITALO,/asumisoikeusasunnot/espoo/niipperi/kylvokuja-1-4/asunto-h-8/
Vanha Sveinsintie 6 H 27,110,5H+K+S,RIVITALO,/asumisoikeusasunnot/espoo/laaksolahti/vanha-sveinsintie-6/asunto-h-27/
Kylvökuja 1-4 C 3,125.5,6H+K+S,OMAKOTITALO,/asumisoikeusasunnot/espoo/niipperi/kylvokuja-1-4/asunto-c-3/
Lyhtykuja 1-3 B 6,96.5,4H+K+S,RIVITALO,/asumisoikeusasunnot/espoo/tuomarila/lyhtykuja-1/asunto-3-b-6/
Lintukorpi 13 A 2,104,5H+K+S,RIVITALO,/asumisoikeusasunnot/espoo/lintukorpi/lintukorpi-13/asunto-a-2/
Kaskipuunkaari 5 D 8,116,4H+K+S,PARITALO,/asumisoikeusasunnot/espoo/suvimetsa/kaskipuunkaari-5-ja-7-8/asunto-kaskipuunkaari-5-d-8/
Nuottalahdentie 21-23 D 8,120,6H+K+S,PARITALO,/asumisoikeusasunnot/espoo/nuottalahti/nuottalahdentie-21-23/asunto-d-8/
Mikkeläntörmä 4 B 10,121,5H+K+S,PARITALO,/asumisoikeusasunnot/espoo/mikkela/mikkelantorma-2-4/asunto-mikkelantorma-4-b-10/
Herastuomarintie 6 C 10,90.5,4H+K+S,RIVITALO,/asumisoikeusasunnot/espoo/muurala/herastuomarintie-6/asunto-c-10/
Joupinmäensyrjä 2 A 3,102.5,4H+K+S,RIVITALO,/asumisoikeusasunnot/espoo/jouppi/joupinmaensyrja-2/asunto-a-3/
Kuningattarenkuja 1,59 – 92,2H+K+S – 4H+K+S+KHH,PARITALO,
Katajatie 5,79 – 109,3H+K+S – 5H+K+S,RIVITALO,
Eestintaival 4 ja 12,45.5 – 90,2H+KK+S – 4H+K+S,RIVITALO,
Elisenvaarankuja 5-6 ja 8,"76.5 – 99,5",3H+K+S – 4H+K+S,RIVITALO,
Sinitiaisenpolku 1,122 – 122,6H+K+S – 6H+K+S,PARITALO,
Vanha Sveinsintie 6,52 – 110,2H+KK+S – 5H+K+S,RIVITALO,
Ratalaaksonkuja 2-3 sekä 5 ja 8,79 – 115,3H+K+S – 6H+K+S,RIVITALO,
Sysimaa 7,85 – 94.5,3H+K+S – 4H+K+S,RIVITALO,
Nostoväenkuja 7,74 – 104,3H+K+S – 5H+K+S,RIVITALO,
Solisevankuja 4,94 – 102,4H+K+S – 5H+K+S,RIVITALO,
Joupinmäensyrjä 2,"102.5 – 103,5",4H+K+S – 4H+K+S,RIVITALO,
Makslahdentie 17,83 – 103,3H+K+S – 5H+K+S,PARITALO,
Sinitiaisenpolku 4,"100.5 – 101,5",5H+K+S – 5H+K+S,RIVITALO,
Kruununtie 23,75.5 – 110,3H+K+S – 5H+K+S,PARITALO,
Järvenperäntie 13,138 – 138,6H+K+S – 6H+K+S,OMAKOTITALO,
Rautiaisenkuja 2,80 – 108,3H+K+S – 5H+K+S,RIVITALO,
Ritarintie 8,"102.5 – 102,5",4H+K+S – 4H+K+S,OMAKOTITALO,
Tyrskykuja 2,"96.5 – 111,5",5H+K+S – 5H+K+S,RIVITALO,
Tikankolo 7,52 – 99,2H+K+S – 5H+K+S,RIVITALO,
Kylvökuja 1-4,"125.5 – 125,5",6H+K+S – 6H+K+S,OMAKOTITALO,
Nihtisalontie 7,95 – 102,4H+K+S – 5H+K+S,PARITALO,
Järvitorppa 4,83 – 113,2H+K+S – 4H+K+ASK.H+S,PARITALO,
Finnoontie 36,52 – 106,2H+K+S – 5H+K+S,PARITALO,
Vilpolanpolku 2,112 – 112,4H+K+S+ASH – 4H+K+S+ASH,PARITALO,
Kirvuntie 33,94 – 107,4H+K+S – 5H+K+S,RIVITALO,
Arttelikuja 1,56 – 92.5,2H+K+S – 4H+K+S,RIVITALO,
"Riilahdentie 53, Vesiniityntie 2 ja 12",76 – 103,3H+K+S – 5H+K+S,PARITALO,
Joupinmäensyrjä 3,84.5 – 92,3H+K+S – 4H+K+S,RIVITALO,
